quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id,description,region_name
2017-09-01,400.0,640406,7.0,111.0,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2015-03-01,14854.0,640406,2.0,38.0,,640406,HOTEL 1 NIGHT PRICE,London
2020-01-01,16122.0,640406,5.0,92.949997,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2012-04-01,5101.0,640406,9.0,90.0,,640406,HOTEL 1 NIGHT PRICE,North West
2018-01-01,5118.0,640406,3.0,82.5,,640406,HOTEL 1 NIGHT PRICE,South East
2006-10-01,243.0,640406,6.0,72.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2024-02-01,18994.0,640406,2.0,416.0,,640406,HOTEL 1 NIGHT PRICE,London
2019-05-01,5012.0,640406,10.0,46.0,,640406,HOTEL 1 NIGHT PRICE,North
2020-03-01,15657.0,640406,3.0,85.0,,640406,HOTEL 1 NIGHT PRICE,South East
2006-12-01,393.0,640406,12.0,45.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2023-03-01,221.0,640406,7.0,155.95,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2020-01-01,5059.0,640406,9.0,61.0,,640406,HOTEL 1 NIGHT PRICE,North West
2008-11-01,500.0,640406,9.0,52.0,,640406,HOTEL 1 NIGHT PRICE,North West
2009-03-01,503.0,640406,9.0,48.889999,,640406,HOTEL 1 NIGHT PRICE,North West
2013-08-01,5108.0,640406,13.0,68.0,,640406,HOTEL 1 NIGHT PRICE,Northern Ireland
2019-10-01,243.0,640406,6.0,70.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2014-11-01,543.0,640406,2.0,82.0,,640406,HOTEL 1 NIGHT PRICE,London
2007-02-01,220.0,640406,10.0,35.0,S,640406,HOTEL 1 NIGHT PRICE,North
2014-12-01,10585.0,640406,11.0,65.0,,640406,HOTEL 1 NIGHT PRICE,Wales
2022-08-01,5120.0,640406,3.0,157.5,,640406,HOTEL 1 NIGHT PRICE,South East
2009-03-01,500.0,640406,8.0,48.5,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2016-12-01,5295.0,640406,2.0,100.0,,640406,HOTEL 1 NIGHT PRICE,London
2013-09-01,394.0,640406,12.0,39.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2023-06-01,5323.0,640406,12.0,75.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2006-12-01,465.0,640406,5.0,55.25,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2021-12-01,519.0,640406,2.0,39.0,,640406,HOTEL 1 NIGHT PRICE,London
2014-02-01,5006.0,640406,9.0,45.5,,640406,HOTEL 1 NIGHT PRICE,North West
2013-02-01,675.0,640406,9.0,76.5,,640406,HOTEL 1 NIGHT PRICE,North West
2020-01-01,14598.0,640406,4.0,80.0,,640406,HOTEL 1 NIGHT PRICE,South West
2010-02-01,395.0,640406,12.0,155.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2006-03-01,220.0,640406,10.0,48.0,,640406,HOTEL 1 NIGHT PRICE,North
2019-10-01,673.0,640406,3.0,85.0,,640406,HOTEL 1 NIGHT PRICE,South East
2009-02-01,167.0,640406,10.0,69.5,,640406,HOTEL 1 NIGHT PRICE,North
2012-03-01,664.0,640406,2.0,50.0,,640406,HOTEL 1 NIGHT PRICE,London
2016-08-01,729.0,640406,3.0,128.25,,640406,HOTEL 1 NIGHT PRICE,South East
2022-02-01,5046.0,640406,3.0,112.0,,640406,HOTEL 1 NIGHT PRICE,South East
2017-03-01,373.0,640406,9.0,89.0,,640406,HOTEL 1 NIGHT PRICE,North West
2005-03-01,544.0,640406,2.0,48.0,,640406,HOTEL 1 NIGHT PRICE,London
2023-07-01,5035.0,640406,3.0,192.60001,,640406,HOTEL 1 NIGHT PRICE,South East
2023-01-01,15483.0,640406,4.0,60.0,,640406,HOTEL 1 NIGHT PRICE,South West
2012-04-01,5043.0,640406,5.0,67.5,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2015-12-01,308.0,640406,12.0,104.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2005-12-01,465.0,640406,5.0,48.75,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2012-06-01,5050.0,640406,3.0,85.0,,640406,HOTEL 1 NIGHT PRICE,South East
2008-06-01,673.0,640406,3.0,64.5,Q,640406,HOTEL 1 NIGHT PRICE,South East
2016-02-01,5001.0,640406,8.0,125.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2007-07-01,503.0,640406,6.0,65.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2013-10-01,5106.0,640406,13.0,60.0,,640406,HOTEL 1 NIGHT PRICE,Northern Ireland
2015-03-01,191.0,640406,7.0,75.0,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2010-07-01,394.0,640406,12.0,39.5,,640406,HOTEL 1 NIGHT PRICE,Scotland
2023-05-01,18036.0,640406,10.0,107.0,,640406,HOTEL 1 NIGHT PRICE,North
2021-12-01,518.0,640406,2.0,335.0,,640406,HOTEL 1 NIGHT PRICE,London
2022-07-01,5246.0,640406,2.0,150.0,,640406,HOTEL 1 NIGHT PRICE,London
2008-09-01,543.0,640406,2.0,110.0,,640406,HOTEL 1 NIGHT PRICE,London
2010-05-01,5257.0,640406,3.0,50.0,,640406,HOTEL 1 NIGHT PRICE,South East
2008-08-01,398.0,640406,4.0,43.950001,,640406,HOTEL 1 NIGHT PRICE,South West
2017-08-01,15453.0,640406,12.0,110.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2018-10-01,378.0,640406,7.0,123.84,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2011-09-01,534.0,640406,5.0,79.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2010-08-01,395.0,640406,12.0,125.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2017-05-01,5105.0,640406,13.0,112.0,,640406,HOTEL 1 NIGHT PRICE,Northern Ireland
2022-05-01,224.0,640406,6.0,50.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2017-08-01,335.0,640406,12.0,99.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2011-09-01,373.0,640406,9.0,89.0,,640406,HOTEL 1 NIGHT PRICE,North West
2018-01-01,14598.0,640406,4.0,62.5,,640406,HOTEL 1 NIGHT PRICE,South West
2019-05-01,14629.0,640406,5.0,75.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2008-11-01,294.0,640406,5.0,45.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2017-11-01,400.0,640406,7.0,114.3,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2012-01-01,5001.0,640406,8.0,90.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
