series,date,share,label
U.S. Dollars,2015-01-01,0.6600487607584078,US Dollar
Euro,2015-01-01,0.20023230398801595,Other
Chinese Renminbi,2015-01-01,,Chinese Renminbi
Japanese Yen,2015-01-01,0.038279967594512,Other
Pounds Sterling,2015-01-01,0.03828912065258712,Other
Australian Dollars,2015-01-01,0.015570067347442292,Other
Canadian Dollars,2015-01-01,0.01711038453906573,Other
Swiss Francs,2015-01-01,0.0026360778454421925,Other
U.S. Dollars,2015-04-01,0.6529835896285447,US Dollar
Euro,2015-04-01,0.19898920101487674,Other
Chinese Renminbi,2015-04-01,,Chinese Renminbi
Japanese Yen,2015-04-01,0.03565536243661718,Other
Pounds Sterling,2015-04-01,0.04578387824509304,Other
Australian Dollars,2015-04-01,0.017340401524733675,Other
Canadian Dollars,2015-04-01,0.01778214015334284,Other
Swiss Francs,2015-04-01,0.0029191143465431436,Other
U.S. Dollars,2015-07-01,0.6554748274366345,US Dollar
Euro,2015-07-01,0.1979339642017936,Other
Chinese Renminbi,2015-07-01,,Chinese Renminbi
Japanese Yen,2015-07-01,0.034886642098367414,Other
Pounds Sterling,2015-07-01,0.04605198872361508,Other
Australian Dollars,2015-07-01,0.016571514083123427,Other
Canadian Dollars,2015-07-01,0.017451683753263593,Other
Swiss Francs,2015-07-01,0.0025301129535558143,Other
U.S. Dollars,2015-10-01,0.6574858154073283,US Dollar
Euro,2015-10-01,0.19147865506147305,Other
Chinese Renminbi,2015-10-01,,Chinese Renminbi
Japanese Yen,2015-10-01,0.037543150340523725,Other
Pounds Sterling,2015-10-01,0.047168400365369886,Other
Australian Dollars,2015-10-01,0.01767530037675779,Other
Canadian Dollars,2015-10-01,0.017753871583667737,Other
Swiss Francs,2015-10-01,0.002674092424674868,Other
U.S. Dollars,2016-01-01,0.654644586596227,US Dollar
Euro,2016-01-01,0.1955330566111198,Other
Chinese Renminbi,2016-01-01,,Chinese Renminbi
Japanese Yen,2016-01-01,0.03660089447818438,Other
Pounds Sterling,2016-01-01,0.04652921528145126,Other
Australian Dollars,2016-01-01,0.01721194644640573,Other
Canadian Dollars,2016-01-01,0.01808088908635418,Other
Swiss Francs,2016-01-01,0.0019087485414498965,Other
U.S. Dollars,2016-04-01,0.6522503011001741,US Dollar
Euro,2016-04-01,0.194120455761632,Other
Chinese Renminbi,2016-04-01,,Chinese Renminbi
Japanese Yen,2016-04-01,0.04079313783222426,Other
Pounds Sterling,2016-04-01,0.045616604578787794,Other
Australian Dollars,2016-04-01,0.01700257148213822,Other
Canadian Dollars,2016-04-01,0.018334803552234512,Other
Swiss Francs,2016-04-01,0.0017799073259454213,Other
U.S. Dollars,2016-07-01,0.6470434798850683,US Dollar
Euro,2016-07-01,0.19677682682941447,Other
Chinese Renminbi,2016-07-01,,Chinese Renminbi
Japanese Yen,2016-07-01,0.04190377211848507,Other
Pounds Sterling,2016-07-01,0.04407217861365137,Other
Australian Dollars,2016-07-01,0.017978557693503254,Other
Canadian Dollars,2016-07-01,0.019139679086835084,Other
Swiss Francs,2016-07-01,0.001771075409713184,Other
U.S. Dollars,2016-10-01,0.6536031192189923,US Dollar
Euro,2016-10-01,0.1913822141433241,Other
