player,id,VORP,best,category,surname
Cody Williams,UTA,-0.5,0,other,Williams
Andre Jackson Jr.,MIL,-0.5,0,other,Jackson
Vasilije Micić,CHO,-0.5,0,other,Micić
Keegan Murray,SAC,-0.5,0,other,Murray
Josh Green,CHO,-0.5,0,other,Green
Kyshawn George,WAS,-0.6,0,other,George
Gabe Vincent,LAL,-0.6,0,other,Vincent
Stephon Castle,SAS,-0.6,0,other,Castle
Keon Johnson,BRK,-0.6,0,other,Johnson
Davion Mitchell,TOR,-0.6,0,other,Mitchell
Zaccharie Risacher,ATL,-0.6,0,other,Risacher
Carlton Carrington,WAS,-0.7,0,other,Carrington
Isaiah Collier,UTA,-0.8,0,other,Collier
ATL average,ATL,0.19999999999999998,0,Average,average
BOS average,BOS,0.525,0,Average,average
BRK average,BRK,0.09285714285714287,0,Average,average
CHI average,CHI,0.13529411764705881,0,Average,average
CHO average,CHO,0.07368421052631578,0,Average,average
CLE average,CLE,0.53125,0,Average,average
DAL average,DAL,0.3647058823529412,0,Average,average
DEN average,DEN,0.3,0,Average,average
DET average,DET,0.16875,0,Average,average
GSW average,GSW,0.33125,0,Average,average
HOU average,HOU,0.40625,0,Average,average
IND average,IND,0.1611111111111111,0,Average,average
LAC average,LAC,0.3,0,Average,average
LAL average,LAL,0.2357142857142857,0,Average,average
MEM average,MEM,0.4117647058823529,0,Average,average
MIA average,MIA,0.28125,0,Average,average
MIL average,MIL,0.24444444444444446,0,Average,average
MIN average,MIN,0.28125,0,Average,average
NOP average,NOP,-0.042105263157894736,0,Average,average
NYK average,NYK,0.46,0,Average,average
OKC average,OKC,0.46315789473684205,0,Average,average
ORL average,ORL,0.29411764705882354,0,Average,average
PHI average,PHI,0.1388888888888889,0,Average,average
PHO average,PHO,0.1823529411764706,0,Average,average
POR average,POR,-6.530723674265627e-18,0,Average,average
SAC average,SAC,0.22352941176470587,0,Average,average
SAS average,SAS,0.20555555555555557,0,Average,average
TOR average,TOR,0.08421052631578947,0,Average,average
UTA average,UTA,0.0176470588235294,0,Average,average
WAS average,WAS,-0.03529411764705883,0,Average,average
ATL average without best player,ATL,0.13333333333333333,0,Average without Best,average
BOS average without best player,BOS,0.39333333333333337,0,Average without Best,average
BRK average without best player,BRK,-0.02307692307692307,0,Average without Best,average
