,location_name,id,year,val,upper,lower
46812,New York,36,2014,80.8985013647879,81.0210391697165,80.7750712847164
46875,North Carolina,37,2014,78.0962925744965,78.2624189378175,77.9498669481739
46976,North Dakota,38,2014,79.0788057491583,79.4641202478077,78.7053788414185
47030,Ohio,39,2014,77.533370294483,77.6648134580257,77.3740092561438
47119,Oklahoma,40,2014,75.7276374536059,75.9461152482718,75.4958165912335
47197,Oregon,41,2014,79.5076856993785,79.7481670147477,79.2743827334888
47234,Pennsylvania,42,2014,78.7224667341954,78.8556479642856,78.5815026435058
47302,Rhode Island,44,2014,79.7615378093863,80.1138595725318,79.3936518989945
47308,South Carolina,45,2014,76.8835765755696,77.0781966134058,76.6694632281102
47355,South Dakota,46,2014,79.2249752530135,79.6061147941495,78.8442271043229
47424,Tennessee,47,2014,76.136248446102,76.3223661088175,75.9628736565442
47520,Texas,48,2014,78.4416040744677,78.5397468932039,78.3477545226451
47775,Utah,49,2014,79.6496149270188,79.8970606297054,79.395348400698
47805,Vermont,50,2014,79.8407676264447,80.2247594946716,79.4517396736303
47820,Virginia,51,2014,79.3443159946134,79.5151826833665,79.1713460233884
47957,Washington,53,2014,80.1204028166336,80.2991444558093,79.9311134985413
47997,West Virginia,54,2014,75.4990914913345,75.795143181458,75.2062279709052
48053,Wisconsin,55,2014,79.5797634320647,79.7871136204243,79.3717827689081
48126,Wyoming,56,2014,78.7015604811764,79.1130273148438,78.3024969873338
48151,Alabama,1,2015,75.3240226744486,75.5322653599477,75.1225287342209
48219,Alaska,2,2015,78.6116686015781,78.987949458313,78.2395194920636
48258,Arizona,4,2015,79.4855959497789,79.6884705865907,79.2731844193973
48274,Arkansas,5,2015,75.7332997875473,75.9879527064661,75.4556861331659
48350,California,6,2015,80.9112244419152,81.0042877939711,80.8207531081202
48409,Colorado,8,2015,79.9393494193554,80.1378414740097,79.7161894628534
48474,Connecticut,9,2015,80.9656929523966,81.2185508834268,80.7081494717383
48483,Delaware,10,2015,78.5409533407905,78.8828363009425,78.1942021231525
48487,District of Columbia,11,2015,77.4449323381722,77.9088334373053,76.9958172536952
48489,Florida,12,2015,79.3761170840901,79.4912000491736,79.2637888311563
48558,Georgia,13,2015,77.3987145064881,77.5482364022256,77.260835895876
48718,Hawaii,15,2015,81.3502526711972,81.6964200091905,81.0062961394016
48724,Idaho,16,2015,79.1463112038394,79.469104763826,78.8156230323446
48769,Illinois,17,2015,79.1598965889141,79.3082865812842,79.0144190750483
48872,Indiana,18,2015,77.0832691321178,77.2689209280909,76.902284796134
48965,Iowa,19,2015,79.3565446116253,79.6430735364249,79.084823203071
49065,Kansas,20,2015,78.3667416982879,78.6334051964609,78.1151305206205
49171,Kentucky,21,2015,75.472115694204,75.6993018047255,75.2431974035945
49292,Louisiana,22,2015,75.5702136243844,75.7909960851554,75.3475571909843
49357,Maine,23,2015,78.5855833214437,78.9338051414082,78.2637055767791
49374,Maryland,24,2015,79.2339063526796,79.4432024078008,79.0412670613041
49399,Massachusetts,25,2015,79.9258487272668,80.1235186391363,79.7436668206081
49414,Michigan,26,2015,77.8720308870895,78.0305653679518,77.7172717951396
49498,Minnesota,27,2015,80.6000523051739,80.8132167780264,80.373388071126
49586,Mississippi,28,2015,74.5456467044684,74.8114118725844,74.2977547031708
49669,Missouri,29,2015,77.3922045904865,77.574761918925,77.1941849174572
49785,Montana,30,2015,78.4644927763691,78.8345179211788,78.0811535473258
49843,Nebraska,31,2015,79.2036412863528,79.5310256208368,78.9004692788566
49937,Nevada,32,2015,78.4240889831159,78.6746969346353,78.1646322422333
49955,New Hampshire,33,2015,79.3816856453849,79.7180125402731,79.0170557451761
49966,New Jersey,34,2015,80.4217840944404,80.5970261308512,80.2602099234112
49988,New Mexico,35,2015,78.2837051288757,78.5883526737862,77.9487490609955
50022,New York,36,2015,80.8459623514273,80.9708378160405,80.7257328062791
50085,North Carolina,37,2015,77.9128819881875,78.0558701649593,77.7582690972862
50186,North Dakota,38,2015,79.3921026382122,79.7790575896089,78.9942884378774
50240,Ohio,39,2015,77.1578196871067,77.3041722619738,77.0095541993498
50329,Oklahoma,40,2015,75.6306260620172,75.8607246548478,75.4004914054662
50407,Oregon,41,2015,79.2806052414935,79.4975511508421,79.0538424856511
50444,Pennsylvania,42,2015,78.3809968826313,78.5113439715723,78.2435270573726
50512,Rhode Island,44,2015,79.2507804275873,79.6022602029404,78.8805510117482
50518,South Carolina,45,2015,76.5920602700468,76.794221526276,76.3747401565176
50565,South Dakota,46,2015,78.9548205251889,79.3331338299899,78.5613763312654
50634,Tennessee,47,2015,76.0229553232723,76.1882583685542,75.8473602512187
50730,Texas,48,2015,78.4234133234702,78.5117505499191,78.3269584162922
50985,Utah,49,2015,79.4928434060539,79.7273139835826,79.2558401908837
51015,Vermont,50,2015,79.2871368223498,79.6629838964851,78.9173927455065
51030,Virginia,51,2015,79.2458596865025,79.4268147640537,79.0671382216385
51167,Washington,53,2015,79.8732671942154,80.0582932046665,79.694409471687
51207,West Virginia,54,2015,75.3334316836894,75.6357066946999,75.0218602388284
51263,Wisconsin,55,2015,79.4706429338312,79.6842897700165,79.2753255777233
51336,Wyoming,56,2015,78.7351586171397,79.1614034073507,78.3117265778071
51361,Alabama,1,2016,75.2270510167261,75.4304940974461,75.0257485594543
51429,Alaska,2,2016,78.8308634516186,79.2263930921779,78.4212351434671
51468,Arizona,4,2016,79.2551029986224,79.4340110775686,79.0685529993142
51484,Arkansas,5,2016,75.7964786255751,76.0606668780612,75.5514747993795
51560,California,6,2016,81.0081875261049,81.1002748091188,80.9250653284961
51619,Colorado,8,2016,79.7536436057583,79.9571755068537,79.5508355063182
51684,Connecticut,9,2016,81.0458318495439,81.3269947453834,80.7750968144345
51693,Delaware,10,2016,78.073097749793,78.4280580000891,77.7192902107144
51697,District of Columbia,11,2016,77.3205934196569,77.7775453087757,76.8729311286599
51699,Florida,12,2016,79.0719225891976,79.1864189198797,78.9561949551778
51768,Georgia,13,2016,77.4416767149617,77.5847946423596,77.2937832105933
51928,Hawaii,15,2016,81.5894086413473,81.9419191497568,81.2259138875796
51934,Idaho,16,2016,79.2025866620835,79.5107960592287,78.8711489268826
51979,Illinois,17,2016,79.172403040513,79.310929481836,79.0303631211571
52082,Indiana,18,2016,76.9496043798706,77.1242263194221,76.7615586804529
52175,Iowa,19,2016,79.3146061298112,79.5734181915583,79.0378730793424
52275,Kansas,20,2016,78.5381725992796,78.8204579518511,78.2638112880113
52381,Kentucky,21,2016,75.2076261484229,75.4262165998957,74.9993296693311
52502,Louisiana,22,2016,75.5351764021264,75.7467411133422,75.3132221496245
52567,Maine,23,2016,78.756914917129,79.1114436761251,78.3986921564193
52584,Maryland,24,2016,78.9190368412757,79.1283292615267,78.7095007707582
52609,Massachusetts,25,2016,80.0350455484742,80.227213202046,79.8436024853878
52624,Michigan,26,2016,77.7724959962846,77.9342570728406,77.6214029955345
52708,Minnesota,27,2016,80.6320796464273,80.8474276166917,80.4019800798245
52796,Mississippi,28,2016,74.6235050945325,74.8577786692549,74.377368022759
52879,Missouri,29,2016,77.4360438397445,77.6318150262299,77.2296162597085
52995,Montana,30,2016,78.4491865261358,78.8412154684947,78.0591535299749
53053,Nebraska,31,2016,79.4966435327674,79.7947966856474,79.1824207821725
53147,Nevada,32,2016,78.3191420295148,78.6029989771542,78.05965789308
53165,New Hampshire,33,2016,79.1688397443699,79.5117351281684,78.8172230781747
53176,New Jersey,34,2016,80.2913919364607,80.4817603838045,80.106745636479
53198,New Mexico,35,2016,78.2352190683399,78.5410172955936,77.9160441773021
53232,New York,36,2016,80.843953789759,80.9808864841045,80.7177397394364
53295,North Carolina,37,2016,77.8929548867088,78.0362172470276,77.7431362000266
53396,North Dakota,38,2016,79.2549542220119,79.6540334175521,78.8529598288388
53450,Ohio,39,2016,76.885548069751,77.0361084216531,76.73752425448
53539,Oklahoma,40,2016,75.7826293868715,76.0041347810833,75.5471748246669
53617,Oregon,41,2016,79.4045714955078,79.6581379942526,79.1640320620918
53654,Pennsylvania,42,2016,78.1856909532427,78.3235736711859,78.0503022665968
53722,Rhode Island,44,2016,79.8182632844455,80.1893324214319,79.4282505300436
53728,South Carolina,45,2016,76.5951467646103,76.8036235994985,76.3942646419826
53775,South Dakota,46,2016,78.6576965607361,79.0223306820811,78.2629692959605
53844,Tennessee,47,2016,75.8612241411512,76.0302331292941,75.6911650970101
53940,Texas,48,2016,78.5607684322631,78.6580324543073,78.4626853456109
54195,Utah,49,2016,79.3842305931153,79.6191988207841,79.1361648469172
54225,Vermont,50,2016,79.7524089937134,80.1385456646325,79.3685011656698
54240,Virginia,51,2016,79.2959980933228,79.4685002800748,79.1190554337155
54377,Washington,53,2016,80.0674984450887,80.250006621217,79.8825296483117
54417,West Virginia,54,2016,75.1993268972506,75.5055741386818,74.9028239548949
54473,Wisconsin,55,2016,79.3755654243941,79.5734121177106,79.167533052061
54546,Wyoming,56,2016,79.1685510606425,79.5699972655209,78.7718408104549
54571,Alabama,1,2017,75.4040007899261,75.604036883795,75.2031347557002
54639,Alaska,2,2017,79.4117632582919,79.8243391625461,79.0169066541042
54678,Arizona,4,2017,79.3610945064348,79.5555466784246,79.1555212544616
54694,Arkansas,5,2017,75.691688691973,75.9631718497554,75.4372973512341
54770,California,6,2017,81.0821994295237,81.1734964141123,80.9889491215407
54829,Colorado,8,2017,79.8769234564157,80.1034583871817,79.6676136904476
54894,Connecticut,9,2017,80.9273194544944,81.2221644662626,80.656662821081
54903,Delaware,10,2017,78.2489009535831,78.6032575576392,77.9083866428936
54907,District of Columbia,11,2017,77.5942359275753,78.0685197476248,77.1237023392253
54909,Florida,12,2017,79.0144278497991,79.1282975892441,78.8993318027498
54978,Georgia,13,2017,77.6175237613111,77.7724060450078,77.4618202111242
55138,Hawaii,15,2017,81.6154472570142,81.9616822680219,81.2650782038508
55144,Idaho,16,2017,78.8917330216707,79.2051526430369,78.5719676197499
55189,Illinois,17,2017,79.1163383073003,79.2550511476216,78.971179072244
55292,Indiana,18,2017,76.6890228611238,76.8761626149094,76.495432087054
55385,Iowa,19,2017,79.1388206475544,79.412314976628,78.8647023544029
55485,Kansas,20,2017,78.3418756438674,78.6077663883787,78.0708467216948
55591,Kentucky,21,2017,75.3223873049364,75.530143713771,75.1254726133699
55712,Louisiana,22,2017,75.3538439732689,75.5716272760328,75.1471781887935
55777,Maine,23,2017,78.5937201312263,78.937990925677,78.2386956483147
55794,Maryland,24,2017,78.9148180248947,79.1188340564174,78.7141039991686
55819,Massachusetts,25,2017,79.8834396149028,80.0656608346537,79.6900696244211
55834,Michigan,26,2017,77.7653253794475,77.9300756152012,77.6190368451967
55918,Minnesota,27,2017,80.5321258832063,80.7485366260174,80.3210951198209
56006,Mississippi,28,2017,74.6625642151266,74.9020221404697,74.4082401535468
56089,Missouri,29,2017,77.2633346926281,77.46764475614,77.058156699008
56205,Montana,30,2017,78.461841324756,78.8544374829322,78.0596969361936
56263,Nebraska,31,2017,79.2629998839459,79.590654746664,78.9580209856166
56357,Nevada,32,2017,78.3986586227499,78.6682659280989,78.1328430333583
56375,New Hampshire,33,2017,79.1676050099264,79.5167401122051,78.8274269039338
56386,New Jersey,34,2017,80.1822554113909,80.3427611068158,80.0081414245993
56408,New Mexico,35,2017,78.3712824857779,78.6746881836707,78.0681079961144
56442,New York,36,2017,81.0314276375646,81.1571864746113,80.9024117668305
56505,North Carolina,37,2017,77.8451674561819,77.9967108515189,77.6941184927205
56606,North Dakota,38,2017,79.2981316108898,79.7074587447326,78.8919063564894
56660,Ohio,39,2017,76.4999562089733,76.6414640798104,76.3608316136403
56749,Oklahoma,40,2017,75.7606082099844,75.9763882377618,75.5265630290943
56827,Oregon,41,2017,79.3951296222718,79.6218144756537,79.1600705658113
56864,Pennsylvania,42,2017,78.0481716821864,78.1832874516795,77.9143731246185
56932,Rhode Island,44,2017,79.5259839313385,79.8957626420534,79.1430582220494
56938,South Carolina,45,2017,76.5973150626913,76.8180934189902,76.3851587653196
56985,South Dakota,46,2017,78.7476071773971,79.1359019355078,78.3619801399762
57054,Tennessee,47,2017,75.6647462247424,75.8410032456039,75.4947196424639
57150,Texas,48,2017,78.5093635990235,78.609954628531,78.4077043078504
57405,Utah,49,2017,79.6036294050532,79.8475961571436,79.3597090694276
57435,Vermont,50,2017,79.6665873940419,80.0573913891393,79.2935488020081
57450,Virginia,51,2017,79.2716740072654,79.4418864412216,79.1035378211165
57587,Washington,53,2017,79.8537179610073,80.0348886606311,79.6606467249546
57627,West Virginia,54,2017,75.0440850948647,75.3607383102778,74.7595976151927
57683,Wisconsin,55,2017,79.3770975869901,79.5759256091042,79.1639914990087
57756,Wyoming,56,2017,79.3663210558912,79.7631824650062,78.9544253557268
57781,Alabama,1,2018,75.4169268202133,75.6112529095632,75.2172615093863
57849,Alaska,2,2018,79.5463162885208,79.9307140062998,79.1581461782286
