date,name,total,total_ytd,multi_total,multi_total_ytd,pop_2023,lat,lng,zori,total_per_capita,total_ytd_per_capita,multi_total_per_capita,multi_total_ytd_per_capita,zori_yoy
2022-01-01,"Richmond, VA",483.0,483.0,505.0,505.0,1349732,37.5295,-77.4756,1415.801387,0.3578488173948606,0.3578488173948606,0.37414834945011305,0.37414834945011305,0.13950018785959717
2022-01-01,"Memphis, TN",368.0,368.0,369.0,369.0,1335674,35.1087,-89.9663,1345.329267,0.2755163310807877,0.2755163310807877,0.2762650167630724,0.2762650167630724,0.14142499418003007
2022-01-01,"Miami, FL",1709.0,1709.0,1752.0,1752.0,6183199,25.784,-80.2101,2428.631956,0.2763941448431467,0.2763941448431467,0.28334847382398654,0.28334847382398654,0.3006936697766591
2022-01-01,"Milwaukee, WI",269.0,269.0,272.0,272.0,1560424,43.0642,-87.9675,1167.560252,0.17238904297806237,0.17238904297806237,0.17431159736071733,0.17431159736071733,0.08238785823477679
2022-01-01,"Minneapolis, MN",1221.0,1221.0,1238.0,1238.0,3712020,44.9635,-93.2678,1526.008298,0.32893141739538045,0.32893141739538045,0.333511134099493,0.333511134099493,0.06142718443536754
2022-01-01,"Las Vegas, NV",2125.0,2125.0,2164.0,2164.0,2336573,36.2333,-115.2654,1718.867802,0.9094515771602256,0.9094515771602256,0.9261426884586956,0.9261426884586956,0.22925337684602298
2022-01-01,"Los Angeles, CA",1820.0,1820.0,1846.0,1846.0,12799100,34.1141,-118.4068,2675.486914,0.14219749826159653,0.14219749826159653,0.14422889109390502,0.14422889109390502,0.13571892508678052
2022-01-01,"Louisville, KY",346.0,346.0,347.0,347.0,1365557,38.1663,-85.6485,1150.076551,0.2533764610338492,0.2533764610338492,0.25410876294435164,0.25410876294435164,0.09714407479087073
2022-01-01,"Philadelphia, PA",1056.0,1056.0,1086.0,1086.0,6246160,40.0077,-75.1339,1660.053415,0.16906387284347502,0.16906387284347502,0.17386682377652832,0.17386682377652832,0.11059861347509181
2022-01-01,"Phoenix, AZ",4548.0,4548.0,4590.0,4590.0,5070110,33.5722,-112.0892,1787.458056,0.8970219581034731,0.8970219581034731,0.9053058020437427,0.9053058020437427,0.23230364647888013
2022-01-01,"Pittsburgh, PA",368.0,368.0,375.0,375.0,2422725,40.4397,-79.9763,1221.902899,0.15189507682464992,0.15189507682464992,0.15478438535120576,0.15478438535120576,0.08382765789244839
2022-01-01,"Providence, RI",152.0,152.0,154.0,154.0,1677803,41.823,-71.4187,1751.775221,0.09059466457027435,0.09059466457027435,0.09178669963040953,0.09178669963040953,0.1241985900654774
2022-01-01,"Raleigh, NC",1687.0,1687.0,1703.0,1703.0,1509231,35.8324,-78.6429,1627.903098,1.1177878005421304,1.1177878005421304,1.1283892260363058,1.1283892260363058,0.17312451071697565
2022-01-01,"Portland, OR",830.0,830.0,845.0,845.0,2508050,45.5371,-122.65,1696.831586,0.33093439126014235,0.33093439126014235,0.3369151332708678,0.3369151332708678,0.12042603409523567
2022-01-01,"Nashville, TN",2613.0,2613.0,2622.0,2622.0,2102573,36.1715,-86.7842,1738.082388,1.2427630336735038,1.2427630336735038,1.247043503364687,1.247043503364687,0.1804728389386332
2022-01-01,"New Orleans, LA",393.0,393.0,394.0,394.0,962165,30.0687,-89.9288,1496.89474,0.40845385147038193,0.40845385147038193,0.40949317424766024,0.40949317424766024,0.13174595142339385
