date,name,total,total_ytd,multi_total,multi_total_ytd,rt,multi_rt,zori,lat,lng,pop_2023,total_pc,total_ytd_pc,multi_total_pc,multi_total_ytd_pc,rt_pc,multi_rt_pc,zori_yoy,state,region,running_total,zori_index,running_total_per_10k
2022-04-01,"Jacksonville, FL",1470.0,8756.0,196.0,3200.0,22740.0,6331.0,1584.2594997314357,30.3322,-81.6749,1713240.0,0.858023394270505,5.110784245056151,0.1144031192360673,1.8678060283439564,13.27309658891924,3.695337489201746,0.2000917491420479,FL,Southeast,12843.0,130.62665609834164,74.96322756881698
2022-05-01,"Jacksonville, FL",2243.0,10994.0,1039.0,4239.0,23660.0,7359.0,1603.15432480109,30.3322,-81.6749,1713240.0,1.309215287992342,6.417081086129206,0.6064532698279284,2.4742592981718845,13.810090822068128,4.295370175807243,0.1943115967998814,FL,Southeast,13882.0,132.18458762207905,81.02776026709627
2022-06-01,"Jacksonville, FL",2666.0,13659.0,1451.0,5690.0,24315.0,8605.0,1616.521328621904,30.3322,-81.6749,1713240.0,1.5561158973640588,7.972613294109407,0.8469332959772128,3.321192594149098,14.192407368494782,5.022647148093671,0.1766618744316483,FL,Southeast,15333.0,133.28673472074735,89.49709322686839
2022-07-01,"Jacksonville, FL",1174.0,14840.0,197.0,5887.0,23838.0,8500.0,1636.400120472243,30.3322,-81.6749,1713240.0,0.6852513366486891,8.661950456445098,0.1149868086199248,3.4361794027690222,13.913987532394762,4.961359762788635,0.1608207259837744,FL,Southeast,15530.0,134.9257970758255,90.64696131306765
2022-08-01,"Jacksonville, FL",1537.0,16463.0,366.0,6253.0,22770.0,7660.0,1648.48448788741,30.3322,-81.6749,1713240.0,0.8971305829889565,9.609278326445798,0.21363031449184,3.649809717260863,13.290607270434965,4.471060680348346,0.1389561146193303,FL,Southeast,15896.0,135.92218719169642,92.78326445798605
2022-09-01,"Jacksonville, FL",2178.0,18670.0,1151.0,7433.0,23387.0,8567.0,1657.5148218145016,30.3322,-81.6749,1713240.0,1.2712754780416051,10.897480796619272,0.6718264808199669,4.338563190212696,13.650743620275035,5.000466951507086,0.1161295739220316,FL,Southeast,17047.0,136.6667636481086,99.5015292661857
2022-10-01,"Jacksonville, FL",1779.0,20449.0,635.0,8068.0,23107.0,8207.0,1654.6967051362074,30.3322,-81.6749,1713240.0,1.0383834138824684,11.93586421050174,0.3706427587495038,4.7092059489622,13.48731059279494,4.790338773318391,0.0941898170977826,FL,Southeast,17682.0,136.43440199381968,103.20795685368074
2022-11-01,"Jacksonville, FL",1076.0,21546.0,309.0,8379.0,22980.0,8454.0,1655.1008988622564,30.3322,-81.6749,1713240.0,0.6280497770306555,12.576171464593402,0.1803600196119633,4.890733347341879,13.413182041045038,4.93451005113119,0.0799485777589508,FL,Southeast,17991.0,136.46772890450487,105.01155704980037
2022-12-01,"Jacksonville, FL",1616.0,23131.0,585.0,8955.0,22985.0,8957.0,1648.4298888802489,30.3322,-81.6749,1713240.0,0.943242044313698,13.50131913800752,0.3414582895566295,5.226938432443791,13.416100487964323,5.228105811211505,0.0679649071837926,FL,Southeast,18576.0,135.9176853498372,108.42613994536667
2023-01-01,"Jacksonville, FL",1179.0,1179.0,362.0,362.0,21173.0,7659.0,1645.221981588755,30.3322,-81.6749,1713240.0,0.6881697835679764,0.6881697835679764,0.21129555695641,0.21129555695641,12.35845532441456,4.470476990964489,0.0581134245733936,FL,Southeast,18938.0,135.65318436206823,110.53909551493078
2023-02-01,"Jacksonville, FL",2231.0,3462.0,1535.0,1897.0,21236.0,8409.0,1640.7489479013984,30.3322,-81.6749,1713240.0,1.3022110153860522,2.0207326469146176,0.8959632042212416,1.107258761177652,12.39522775559758,4.908244028857603,0.0512728527557198,FL,Southeast,20473.0,135.28437014110654,119.4987275571432
2023-03-01,"Jacksonville, FL",2274.0,5736.0,1338.0,3235.0,21423.0,9164.0,1641.7429089652787,30.3322,-81.6749,1713240.0,1.3273096588919242,3.348042305806542,0.7809763956013168,1.8882351567789688,12.50437767037893,5.348929513670005,0.0427186913777462,FL,Southeast,21811.0,135.36632502923482,127.30849151315635
