name,date,zori,lat,lng,pop_2023
"Orlando, FL",2015-07-01,1164.0853357395265,28.4773,-81.337,2817933.0
"Charlotte, NC",2015-07-01,1061.6392811975122,35.2083,-80.8303,2805115.0
"San Antonio, TX",2015-07-01,1055.1812437343324,29.4632,-98.5238,2703999.0
"Portland, OR",2015-07-01,1213.0484669899204,45.5371,-122.65,2508050.0
"Sacramento, CA",2015-07-01,1303.6967154603292,38.5677,-121.4685,2420608.0
"Pittsburgh, PA",2015-07-01,1002.6793629393072,40.4397,-79.9763,2422725.0
"Cincinnati, OH",2015-07-01,901.9219801410202,39.1413,-84.506,2271479.0
"Austin, TX",2015-07-01,1227.5569293024628,30.3005,-97.7522,2473275.0
"Las Vegas, NV",2015-07-01,1015.369053964504,36.2333,-115.2654,2336573.0
"Kansas City, MO",2015-07-01,907.0225334835912,39.1238,-94.5541,2221343.0
"Columbus, OH",2015-07-01,894.8344203439544,39.9862,-82.9855,2180271.0
"Indianapolis, IN",2015-07-01,933.9560505776074,39.7771,-86.1458,2138468.0
"Cleveland, OH",2015-07-01,854.5956883768677,41.4764,-81.6805,2063132.0
"San Jose, CA",2015-07-01,2617.260067073235,37.3012,-121.848,1945767.0
"Nashville, TN",2015-07-01,1200.3595050934262,36.1715,-86.7842,2102573.0
"Virginia Beach, VA",2015-07-01,1100.409905466794,36.7335,-76.0435,1787169.0
"Providence, RI",2015-07-01,1085.5499900029254,41.823,-71.4187,1677803.0
"Jacksonville, FL",2015-07-01,1034.9668010564617,30.3322,-81.6749,1713240.0
"Milwaukee, WI",2015-07-01,973.097111593332,43.0642,-87.9675,1560424.0
"Oklahoma City, OK",2015-07-01,943.7233889693664,35.4676,-97.5136,1477926.0
"Raleigh, NC",2015-07-01,1124.2076110725695,35.8324,-78.6429,1509231.0
"Memphis, TN",2015-07-01,886.3708003382285,35.1087,-89.9663,1335674.0
"Richmond, VA",2015-07-01,989.9085030718808,37.5295,-77.4756,1349732.0
"Louisville, KY",2015-07-01,854.4095484700597,38.1663,-85.6485,1365557.0
"Salt Lake City, UT",2015-07-01,1003.873071649666,40.7776,-111.9311,1267864.0
"Hartford, CT",2015-07-01,1145.4728930667873,41.7661,-72.6834,1151543.0
"Buffalo, NY",2015-07-01,812.2142064385248,42.9018,-78.8487,1155604.0
"Birmingham, AL",2015-07-01,913.84651803423,33.5279,-86.7971,1184290.0
"Grand Rapids, MI",2015-07-01,901.0306766833698,42.9619,-85.6562,1162950.0
"New York, NY",2015-08-01,2326.3891773931396,40.6943,-73.9249,19498249.0
"Los Angeles, CA",2015-08-01,1891.8897801234536,34.1141,-118.4068,12799100.0
"Chicago, IL",2015-08-01,1450.4469104751715,41.8375,-87.6866,9262825.0
"Dallas, TX",2015-08-01,1144.9817180487737,32.7935,-96.7667,8100037.0
"Houston, TX",2015-08-01,1257.5470556984967,29.786,-95.3885,7510253.0
"Washington, DC",2015-08-01,1737.6645989568642,38.9047,-77.0163,6304975.0
"Philadelphia, PA",2015-08-01,1267.1019021860814,40.0077,-75.1339,6246160.0
"Miami, FL",2015-08-01,1514.945353676912,25.784,-80.2101,6183199.0
"Atlanta, GA",2015-08-01,1071.7821319027096,33.7628,-84.422,6307261.0
